               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.059421,             0.14716,           0.0038612,             0.64404,             0.57993,             0.61369,             0.18859,            0.058517,              0.1261,           0.0050687,             0.00307,             0.00307,             0.00307
                  37,            0.058626,             0.14313,           0.0035982,             0.60607,             0.56558,             0.57362,             0.17582,            0.059564,              0.1241,           0.0048825,            0.002872,            0.002872,            0.002872
                  38,            0.058121,             0.15152,           0.0038315,             0.70788,             0.57623,             0.61029,             0.19675,            0.057795,             0.12567,           0.0048289,            0.002674,            0.002674,            0.002674
                  39,            0.057568,             0.14258,            0.003694,             0.59695,             0.57528,              0.5656,             0.18475,            0.059308,             0.12363,           0.0047308,            0.002476,            0.002476,            0.002476
                  40,            0.058544,             0.15172,           0.0037545,             0.69818,             0.61337,             0.63851,             0.20689,            0.056962,             0.12452,           0.0047009,            0.002278,            0.002278,            0.002278
                  41,            0.059066,             0.16784,           0.0040387,             0.69861,              0.5816,             0.61771,             0.18556,            0.058406,             0.12401,           0.0046867,             0.00208,             0.00208,             0.00208
                  42,            0.058586,             0.14059,           0.0037346,             0.72652,             0.62964,             0.63777,             0.20243,            0.056812,             0.12467,           0.0046758,            0.001882,            0.001882,            0.001882
                  43,            0.057925,             0.15115,           0.0038186,             0.70004,             0.62804,             0.63626,             0.20554,            0.056869,             0.12483,           0.0046438,            0.001684,            0.001684,            0.001684
                  44,            0.055815,             0.14509,           0.0033998,             0.69667,             0.62845,             0.65173,             0.20498,            0.056927,             0.12505,           0.0046124,            0.001486,            0.001486,            0.001486
                  45,            0.057246,             0.15574,           0.0036944,             0.70462,             0.62822,             0.66058,             0.20663,            0.056987,             0.12469,           0.0046069,            0.001288,            0.001288,            0.001288
                  46,            0.057863,              0.1404,           0.0036467,              0.7003,             0.63518,             0.64299,             0.20863,            0.056714,             0.12474,           0.0046168,             0.00109,             0.00109,             0.00109
                  47,            0.056298,             0.14921,           0.0035609,             0.70021,             0.63839,             0.65848,             0.20946,            0.056612,             0.12502,           0.0046303,            0.000892,            0.000892,            0.000892
                  48,            0.056285,             0.14656,            0.003497,             0.71722,             0.62315,             0.65399,             0.20843,            0.056631,             0.12512,           0.0046077,            0.000694,            0.000694,            0.000694
                  49,            0.056318,             0.16079,           0.0036062,             0.72361,             0.61988,             0.65865,             0.20926,            0.056601,             0.12525,           0.0045992,            0.000496,            0.000496,            0.000496
